Month,Year,Fatal,GI,MI,NI,Total,Severity
1,2019,658,566,388,103,1715,4.282215743
2,2019,642,602,287,101,1632,4.573529412
3,2019,622,542,335,81,1580,4.420253165
4,2019,595,464,291,98,1448,4.388121547
5,2019,684,530,295,115,1624,4.485221675
6,2019,563,478,267,96,1404,4.448717949
7,2019,476,455,240,77,1248,4.475961538
8,2019,423,428,247,84,1182,4.319796954
9,2019,422,364,219,80,1085,4.346543779
10,2019,538,444,295,79,1356,4.345132743
11,2019,488,454,269,74,1285,4.39844358
12,2019,615,499,285,88,1487,4.494956288
1,2020,602,554,264,118,1538,4.509752926
2,2020,620,506,286,128,1540,4.387012987
3,2020,520,432,210,70,1232,4.636363636
4,2020,160,111,57,18,346,4.699421965
5,2020,288,204,123,50,665,4.439097744
6,2020,411,326,170,43,950,4.654736842
7,2020,413,328,164,49,954,4.660377358
8,2020,396,320,173,85,974,4.410677618
9,2020,432,367,187,92,1078,4.447124304
10,2020,496,459,243,89,1287,4.452214452
11,2020,637,427,241,71,1376,4.639534884
12,2020,647,488,239,84,1458,4.670781893
1,2021,649,496,207,109,1461,4.702258727
2,2021,545,449,225,87,1306,4.56661562
3,2021,648,455,241,104,1448,4.570441989
4,2021,491,294,161,59,1005,4.686567164
5,2021,508,283,143,55,989,4.798786653
6,2021,585,394,180,70,1229,4.779495525
7,2021,502,392,224,82,1200,4.47
8,2021,553,392,223,101,1269,4.468085106
9,2021,484,401,184,88,1157,4.589455488
10,2021,591,454,212,86,1343,4.668652271
11,2021,652,445,222,54,1373,4.79388201
12,2021,617,468,246,75,1406,4.630156472
1,2022,635,452,174,93,1354,4.816838996
2,2022,633,453,204,74,1364,4.7771261
3,2022,613,463,204,77,1357,4.757553427
4,2022,626,483,194,79,1382,4.814761216
5,2022,713,492,220,106,1531,4.722403658
6,2022,580,451,208,97,1336,4.630239521
7,2022,457,358,158,91,1064,4.595864662
8,2022,475,406,176,84,1141,4.632778265
9,2022,482,415,187,74,1158,4.647668394
10,2022,638,475,208,76,1397,4.780243379
11,2022,546,430,189,93,1258,4.655007949
12,2022,601,495,234,79,1409,4.667139815
